# http://earthquake.usgs.gov/earthquakes/search/
# Temblores de magnitud 5 a 10, durante un periodo de 10 años, limitada al area Chile.

time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-22T06:36:59.400Z,-30.4242,-72.2967,12,6,mww,,39,0.622,1.37,us,us10004rn7,2016-06-20T19:08:51.627Z,"105km WSW of Coquimbo, Chile",earthquake,4.7,1.7,,,reviewed,us,us
2016-02-10T01:14:06.380Z,-30.676,-71.6542,33.84,5.1,mwr,,138,0.016,1.4,us,us20004z6p,2016-04-19T01:33:28.040Z,"44km WSW of Ovalle, Chile",earthquake,5.1,3.1,,,reviewed,us,guc
2016-02-10T00:47:09.280Z,-30.5812,-71.6663,28.79,5,mb,,183,0.096,1.01,us,us20004z5r,2016-04-19T01:33:27.040Z,"44km W of Ovalle, Chile",earthquake,4.4,5.1,0.162,12,reviewed,us,us
2016-02-10T00:33:05.340Z,-30.5723,-71.5838,29,6.3,mww,,45,0.11,0.81,us,us20004z5b,2016-06-13T18:57:40.000Z,"36km W of Ovalle, Chile",earthquake,4.5,1.8,,,reviewed,us,us
2016-02-05T05:28:08.110Z,-31.0741,-71.6711,23.7,5.1,mwr,,141,0.4,0.79,us,us20004xzw,2016-06-13T18:57:12.000Z,"69km SW of Ovalle, Chile",earthquake,5,4.2,,,reviewed,us,guc
2016-02-05T05:24:40.500Z,-31.0793,-71.7851,24.66,5,mwr,,145,0.424,0.8,us,us20004xzv,2016-04-19T01:33:18.040Z,"77km SW of Ovalle, Chile",earthquake,4.6,4.2,,,reviewed,us,guc
2016-01-29T20:07:15.100Z,-30.3325,-71.6327,35.78,5.2,mwr,,113,0.34,1.1,us,us20004vly,2016-05-13T18:59:39.000Z,"50km SSW of Coquimbo, Chile",earthquake,4.7,4.1,,,reviewed,us,guc
2016-01-17T17:05:38.400Z,-26.4372,-70.8561,36.87,5,mb,,139,1.278,1.31,us,us10004f80,2016-04-06T17:30:24.040Z,"80km W of Diego de Almagro, Chile",earthquake,1.9,6.5,0.17,11,reviewed,us,us
2016-01-17T15:28:38.980Z,-21.3044,-68.763,90.29,5,mwr,,42,0.662,0.84,us,us10004f7g,2016-05-13T18:58:30.000Z,"129km N of Calama, Chile",earthquake,5.1,4,,,reviewed,us,guc
2016-01-10T13:33:35.760Z,-31.3272,-71.7545,26.22,5,mwr,,58,0.659,0.89,us,us10004db0,2016-03-30T02:27:52.040Z,"65km WNW of Illapel, Chile",earthquake,4.8,3.3,,,reviewed,us,guc
2016-01-08T14:45:28.810Z,-29.0539,-111.7634,15.04,5,mb,,152,2.791,0.64,us,us10004egc,2016-05-13T18:57:28.000Z,"Easter Island region",earthquake,13.5,4.2,0.082,47,reviewed,us,us
2016-01-08T01:12:01.020Z,-30.664,-71.6383,24.03,5.7,mww,,76,0.01,0.79,us,us10004c96,2016-05-13T18:57:22.000Z,"42km W of Ovalle, Chile",earthquake,4.6,3,,,reviewed,us,us
2016-01-07T15:40:42.920Z,-41.6653,-74.0885,22.6,5,mww,,116,0.529,0.7,us,us10004c4b,2016-05-13T18:57:20.000Z,"31km NW of Ancud, Chile",earthquake,5.6,3.5,,,reviewed,us,us
2015-12-30T02:58:36.450Z,-34.4192,-109.3543,10,5,mb,,65,28.974,0.8,us,us10004aci,2016-04-15T00:59:30.000Z,"Southern East Pacific Rise",earthquake,14.7,1.8,0.053,114,reviewed,us,us
2015-12-27T15:19:49.100Z,-33.0132,-108.8244,10,5.3,mwc,,122,30.809,0.73,us,us100049xy,2016-05-03T16:36:53.696Z,"Southern East Pacific Rise",earthquake,6.6,1.9,,,reviewed,us,gcmt
2015-12-26T17:58:08.250Z,-31.7499,-72.1791,11.66,5,mww,,77,1.169,0.93,us,us100049py,2016-04-15T00:59:09.000Z,"97km W of Illapel, Chile",earthquake,4.2,1.4,,,reviewed,us,us
2015-12-26T05:40:08.000Z,-36.5,-99.5,10,5.1,mwc,,,,,gcmt,gcmt20151226054008,2016-04-15T00:59:05.000Z,"southeast of Easter Island",earthquake,,,,,automatic,gcmt,gcmt
