benjoguzman;2015-09-16 19:36;0;1;"Te apuesto un terremoto que se enteró por la prensa!";Las Condes, Chile;;;https://twitter.com/benjoguzman/status/644293818347560960
avm87;2015-09-16 19:36;0;0;"Toda mi fuerza y solidaridad para #Chile en este momento tan preocupante a raiz del terremoto";;;#Chile;https://twitter.com/avm87/status/644293818188230656
GonzaloZamorano;2015-09-16 19:36;0;0;"#temblor hora aprox de llegada de oleaje a costas. #alertatsunami fvRT http:// m.biobiochile.cl/notas/2015/09/ 16/shoa-informa-eventual-arribo-de-olas-a-las-costas-de-todo-chile.shtml …";;;#temblor #alertatsunami;https://twitter.com/GonzaloZamorano/status/644293818184007681
TV_VENEZUELA;2015-09-16 19:36;17;0;"#EnChile Autoridades de ese país afirman que el sismo que se registró hace minutos fue de magnitud 8.3. Vía @CNNChile";;@CNNChile;#EnChile;https://twitter.com/TV_VENEZUELA/status/644293818137858048
Di_LaurenGirl;2015-09-16 19:36;0;0;"DICEN QUE HAY ALERTA DE TSUNAMI EN HAWAII? DIGANME QUE NO ES CIERTO...NO! *SE VA A BUSCAR A LAUREN* #temblor";Peru;;#temblor;https://twitter.com/Di_LaurenGirl/status/644293817986850817
Viaducto_Piedad;2015-09-16 19:36;0;0;"Terremoto de 7.9 grados afecta a Chile http:// eluni.mx/1Jcq2mp http:// fb.me/41CQ7WuA4";;;;https://twitter.com/Viaducto_Piedad/status/644293817940709376
ivangta24;2015-09-16 19:36;0;3;"@ClubMediaFest espero que no se suspenda en chile por el terremoto , y ademas hay alerta de tsunami en chile";;@ClubMediaFest;;https://twitter.com/ivangta24/status/644293817852645376
micaelaaloy1;2015-09-16 19:36;3;2;"ah están re emocionados con el temblor del orto re exageran ojalá se haya caído el tanque del colegio así dicen q no hay clases q se yo";;;;https://twitter.com/micaelaaloy1/status/644293817781329920
AleexiisGomez;2015-09-16 19:36;0;0;"A mi me da mas miedo lo del tsunami que lo del #temblor";Lanús Oeste, Argentina;;#temblor;https://twitter.com/AleexiisGomez/status/644293817739423744
CeleFeliciaOk;2015-09-16 19:36;0;1;"El #temblor es aviso a chile para que nos devuelvan la copa #DiosEsArgentino";;;#temblor #DiosEsArgentino;https://twitter.com/CeleFeliciaOk/status/644293817357705216
calderonandresf;2015-09-16 19:36;0;0;"Hace pocos minutos un temblor de tierra de 8,3 grados en la escala de Richter, las autoridades decretaron alerta de tsunami.";;;;https://twitter.com/calderonandresf/status/644293817345011712
MelisaSantucci;2015-09-16 19:36;0;0;"@VarelaDanielle soy de Mendoza, fue muy fuerte, me sigue temblando todo, claramente me re cague!";;@VarelaDanielle;;https://twitter.com/MelisaSantucci/status/644293817265487876
shxwndolan;2015-09-16 19:36;0;0;"Me cage toda cuando mica dijo lo del temblor pensé que le había pasado algo";;;;https://twitter.com/shxwndolan/status/644293816997048321
LukitaBwr;2015-09-16 19:36;0;1;"alto temblor por diios..";;;;https://twitter.com/LukitaBwr/status/644293816682479617
lukas321412;2015-09-16 19:36;0;0;"Me gustó un video de @YouTube de @lukas321412 http:// youtu.be/mFinpTuFK_k?a Temblor en Chile";;@YouTube @lukas321412;;https://twitter.com/lukas321412/status/644293816510480384
NephalemVII;2015-09-16 19:36;0;0;"Hay terremoto y yo sigo reblogueando...(?) http:// tmblr.co/ZHG2Kq1uNdaC-";;;;https://twitter.com/NephalemVII/status/644293816317513728
chito_colon;2015-09-16 19:36;0;1;"El orto les tembló jajajaja ya tienen que exagerar, si en europa también se sintió";;;;https://twitter.com/chito_colon/status/644293816040726528
SebastiaanMarco;2015-09-16 19:36;2;2;"Alguno más quiere twittear sobre el " terremoto " violados terremoto tienen en el culo";;;;https://twitter.com/SebastiaanMarco/status/644293815709339648
EzeAdan;2015-09-16 19:36;0;0;"@SantiDiosque98 Jajaja ya esta mañana no voy a colé por terremoto bue";;@SantiDiosque98;;https://twitter.com/EzeAdan/status/644293815667306496
camiibasso;2015-09-16 19:36;0;1;"Me sigue el miedo del temblor todavía";;;;https://twitter.com/camiibasso/status/644293815646429184
Esau_Romero;2015-09-16 19:36;0;0;"Me acabo de enterar que hubo terremoto en Chile espero que toda mi familia se encuentre bien. Un abrazo para mis tíos y primos.";;;;https://twitter.com/Esau_Romero/status/644293815629557764
saintduvall;2015-09-16 19:36;1;0;"Sismo de mayor intensidad entre las reg. d Atacama, Coquimbo, Valparaíso, Metropolitana, Maule, Biobío y Araucanía http://www. onemi.cl//informate/sis mo-de-mayor-intensidad-en-las-regiones-de-metropolitana-y-maule/ …";;;;https://twitter.com/saintduvall/status/644293815625515009
maar_faar;2015-09-16 19:36;1;0;"@nazagonza bueno para responder tu preg hubo un terremoto en chile y hay alertas tsunami en chile tmb";;@nazagonza;;https://twitter.com/maar_faar/status/644293815424155648
FranPisca;2015-09-16 19:36;0;0;"#terremoto https:// instagram.com/p/7tcxRUsU-hQ0 92b346xJQ9QIOIPEU7BsTTP_40/ …";;;#terremoto;https://twitter.com/FranPisca/status/644293815315103744
negrijuani;2015-09-16 19:36;2;0;"Sale pijama party en la planta baja! #Temblor";;;#Temblor;https://twitter.com/negrijuani/status/644293815143149568
kalensch;2015-09-16 19:36;2;5;"Tipo que a mi no se me movió ni un pelo del culo no se de q temblor hablan...";Ciudad Autónoma de Buenos Aires, Argentina;;;https://twitter.com/kalensch/status/644293814891474944
Don_Corleone_;2015-09-16 19:36;0;0;"Lo que acrecenta las posibilidades de tsunami no es la magnitud de este temblor sino la duración";;;;https://twitter.com/Don_Corleone_/status/644293814555967488
vivaneron;2015-09-16 19:36;2;2;"No se les caen los Rts ni con un terremoto , hijos de puta.";;;;https://twitter.com/vivaneron/status/644293814413361152
___Gonzo___;2015-09-16 19:36;0;0;"Tembló Torcuato. Las piletas se sacudieron lindo.";;;;https://twitter.com/___Gonzo___/status/644293814409142272
SoyPookiedoll;2015-09-16 19:36;0;0;"Recuerden evacuar también a sus mascotas! RT porfa #chile #temblor #terremoto #tsunami";;;#chile #temblor #terremoto #tsunami;https://twitter.com/SoyPookiedoll/status/644293814337806337
JuanBacaro;2015-09-16 19:36;0;0;"Ey, en mi casa se sintió el sismo de Chile. Con eso les digo todo.";;;;https://twitter.com/JuanBacaro/status/644293814228779008
alanrojascba;2015-09-16 19:36;0;1;"Se siguen moviendo las luces todavia. Ya mas despacio pero sigue. Y ya paso mas de media hora del primero #Temblor";;;#Temblor;https://twitter.com/alanrojascba/status/644293814174265345
milyzisnerMV;2015-09-16 19:36;0;1;"Ahi me temblo todo estoy cagada de miedoooo :((";San Miguel de Tucumán, Argentina;;;https://twitter.com/milyzisnerMV/status/644293814086168577
MartinB68075328;2015-09-16 19:36;0;0;"Temblor";;;;https://twitter.com/MartinB68075328/status/644293813629009920
boludanosoy;2015-09-16 19:36;0;2;"@telenoche en San Luis el temblor duró 5 minutos y medio";;@telenoche;;https://twitter.com/boludanosoy/status/644293813603799040
agomezhl;2015-09-16 19:36;0;0;"Terrible lo que está pasando en Chile. Mamma mia un temblor de 8.3";;;;https://twitter.com/agomezhl/status/644293813431721984
camilopuntov;2015-09-16 19:36;0;0;"Puede temblar y terremotear pero igual alcance a luchar por mis marraquetas para choripanes";;;;https://twitter.com/camilopuntov/status/644293813079568389
Mauri_Morales_;2015-09-16 19:36;0;1;"Rindo y el finde me agarro un temblor .";Córdoba, Argentina;;;https://twitter.com/Mauri_Morales_/status/644293813054402560
