username;date;retweets;favorites;text;geo;mentions;hashtags;permalink
Alexbalza306;2015-09-14 19:38;0;0;"Para entrar y Salir... " @transitomerida : . @enzomesg : Merida preparada para un terremoto ... congestionamiento barbaro en toda la ciudad..!"";;@transitomerida @enzomesg;;https://twitter.com/Alexbalza306/status/643569498415468544
___cata;2015-09-14 19:38;0;1;"#Este18MeComeria su empaná y tomaría su buen terremoto";;;#Este18MeComeria;https://twitter.com/___cata/status/643569488647094272
renepradoy;2015-09-14 19:37;0;0;"@abogadomeza @El_Palestino1 @DerechaTuitera también ella ocasionó el terremoto ?";;@abogadomeza @El_Palestino1 @DerechaTuitera;;https://twitter.com/renepradoy/status/643569354517430272
DanielBongarra;2015-09-14 19:37;1;0;"NOCHE DE LUNAS Comenzamos la semana con muy buenas entrevistas y muy buena música. Con Zonda y temblor , seguimos... http:// fb.me/7uY1V0fxb";;;;https://twitter.com/DanielBongarra/status/643569354337034240
SaantanamM;2015-09-14 19:37;0;0;"Aaah quando eu sismo cm uma coisa não tem quem me segure";;;;https://twitter.com/SaantanamM/status/643569345885569024
ProyectoDiez;2015-09-14 19:37;0;0;"Vulnerables a un sismo , 80 por ciento de las construcciones en #Guadalajara http:// p10.mx/1QBhICS pic.twitter.com/k5pi1mWEWb";;;#Guadalajara;https://twitter.com/ProyectoDiez/status/643569329875890176
smaartineez27;2015-09-14 19:37;6;13;"Nudo en la garganta, empezar a temblar y que se me pongan las manos frías, ok.";;;;https://twitter.com/smaartineez27/status/643569300364754944
keny_SR;2015-09-14 19:37;2;1;"Me sonrieron sus ojos y me tembló hasta el alma";;;;https://twitter.com/keny_SR/status/643569214859546624
Hoogueeto;2015-09-14 19:36;0;0;"@mariacampesina Un terremoto gratis no se desperdicia.";Santiago, Chile;@mariacampesina;;https://twitter.com/Hoogueeto/status/643569155296374784
transitomerida;2015-09-14 19:36;0;0;". @enzomesg : Merida preparada para un terremoto ... congestionamiento barbaro en toda la ciudad..!";;@enzomesg;;https://twitter.com/transitomerida/status/643569076275691520
costaneraclub;2015-09-14 19:35;0;0;"Este sábado en Costanera Club "Show Infieles" Mujeres BAR ABIERTO en Terremoto hasta las 00:30 Listas de... http:// fb.me/4hh6rqccC";;;;https://twitter.com/costaneraclub/status/643568871312486400
Videospremium2;2015-09-14 19:35;0;0;"[VIDEO] Olas en una piscina durante el terremoto de Mexico. http:// goo.gl/7Egsfp pic.twitter.com/jjFnw4oipU";;;;https://twitter.com/Videospremium2/status/643568788043132928
ElUniversal;2015-09-14 19:35;0;4;"Elena Poniatowska reseña cómo vivió el terremoto de #México #Literatura http:// ow.ly/ScO6G";;;#M #Literatura;https://twitter.com/ElUniversal/status/643568735899529216
nanmartinezzzz;2015-09-14 19:35;0;1;"tus caderas las mias boom hacen un sismo";;;;https://twitter.com/nanmartinezzzz/status/643568730585321472
LULOARIAS;2015-09-14 19:34;0;1;"Para el terremoto el mejor helado de piña es Mepiache desde san Joaquín población la La Legua";;;;https://twitter.com/LULOARIAS/status/643568607922749440
nameless6021;2015-09-14 19:34;0;0;"(`???´)????? 08:34 ??? ??? 1000 ?? 794 ??? 13 ?? #?? #earthquake #terremoto #????? #disaster #desastre #Japan #Japón pic.twitter.com/VvqeWANN3d";;;# #earthquake #terremoto # #disaster #desastre #Japan #Jap;https://twitter.com/nameless6021/status/643568588071178240
Heerleinfacu;2015-09-14 19:34;0;0;"Me pusieron una pichicata en la cola , estoy temblando y no aguanto la risa";;;;https://twitter.com/Heerleinfacu/status/643568552197419008
AgosSuarez01;2015-09-14 19:34;0;0;"Lo hubieras pensado cuando me miraste con esa sonrisa que me hizo temblar";;;;https://twitter.com/AgosSuarez01/status/643568527190921216
MerhakN;2015-09-14 19:34;0;0;"Pasan momentos, entre abrazos y besos hacen temblar las paredes. Suelen entregarse algo más que sexo.";;;;https://twitter.com/MerhakN/status/643568504973561856
Pacincotta;2015-09-14 19:34;0;2;"ATENCIÓN: Se espera posible tembló (fuerte) o terremoto en la zona de cuyo debido a el comienzo de actividad de un volcán";Córdoba, Argentina;;;https://twitter.com/Pacincotta/status/643568485805760512
Monse20014;2015-09-14 19:33;2;5;"@RafaelVazquez21 Tenía pensado una platica acá súper cool pero me dio por comenzar a temblar :'v GRACIAS pic.twitter.com/f7vEQqaSeq";;@RafaelVazquez21;;https://twitter.com/Monse20014/status/643568399713366016
jorg5555;2015-09-14 19:33;0;0;"@eltlacuache40 . #SoyUnMaestroCuando me voy y le siguen temblando las piernas";;@eltlacuache40;#SoyUnMaestroCuando;https://twitter.com/jorg5555/status/643568394139144192
sebastianicog;2015-09-14 19:33;0;1;"@vargasardiles Bañado soñado con terremoto @SofiaTallarin";;@vargasardiles @SofiaTallarin;;https://twitter.com/sebastianicog/status/643568349172080640
Acomegalleta;2015-09-14 19:33;0;0;"Estoy temblando joeee >.<";;;;https://twitter.com/Acomegalleta/status/643568266229772288
GabyChem;2015-09-14 19:33;0;0;"El bebé milagro del sismo cumple 30 años http://www. enterate.mx/el-bebe-milagr o-del-sismo-cumple-30-anos/ …";;;;https://twitter.com/GabyChem/status/643568229193936896
mffyeah;2015-09-14 19:33;0;0;"Temblor";;;;https://twitter.com/mffyeah/status/643568181043400704
Tlaquirris;2015-09-14 19:33;0;0;"Me tembló hasta el alma antes de hablarte, pero me iba arrepentir toda la vida si no lo hacia....";;;;https://twitter.com/Tlaquirris/status/643568164622626817
